Id,String
HELLO,Hello~
BYE,Bye~
YOU DIE,You Die...
Item1Name,Sword
Item2Name,Shield
Item3Name,Bow
Item4Name,Potion
Item1Desc,This is a sword.
Item2Desc,This is a shield.
Item3Desc,This is a bow.
Item4Desc,This is a potion.
Character1Name,AAA
Character2Name,BBB
Character3Name,CCC
Character4Name,DDD
Character1Desc,Name is AAA
Character2Desc,Name is BBB
Character3Desc,Name is CCC
Character4Desc,Name is DDD
10,attack is 10
20,attack is 20
5,attack is 5
50,attack is 50
NAME,NAME
DESC,DESC
TYPE,TYPE
VALUE,VALUE
COST,COST
button1,Load
button2,Save
button3,Create item
button4,Delete item
SORT,Sort
SORT_DATE_ASC,Date (Ascending)
SORT_DATE_DESC,Date (Descending)
SORT_NAME_ASC,Name (Ascending)
SORT_NAME_DESC,Name (Descending)
FILTER,Filter
FILTER_ALL,All
FILTER_WEAPON,Weapon
FILTER_EQUIP,Equipment
FILTER_CONSUMABLE,Consumable
CHARACTER_SORT_DATE_ASC,Date (Ascending)
CHARACTER_SORT_DATE_DESC,Date (Descending)
CHARACTER_SORT_ATTACK_ASC,Attack (Ascending)
CHARACTER_SORT_ATTACK_DESC,Attack (Descending)
FILTER_SWORD,Sword
FILTER_SHIELD,Shield
FILTER_BOW,Bow
FILTER_HEART,Heart
ID,ID
ATTACK,Attack
